                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   173         175          20.6306              1            5.2  
   174         176          20.5754              1           4.27  
   175         177          20.4902              1           5.19  
   176         178          20.3711              1           5.57  
   177         179          20.2307              1            5.6  
   178         180          20.0826              1           3.86  
   179         181          20.0002              1           3.47  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   180         182          19.9463              1           4.39  
   181         183          19.8913              1            3.9  
   182         184          19.8171              1           3.45  
   183         185          19.7042              1           4.41  
   184         186          19.5278              1           5.38  
   185         187          19.3688              1            5.4  
   186         188          19.2561              1           5.02  
   187         189          19.2095              1           4.39  
   188         190          19.1569              1           4.32  
   189         191          19.0907              1           4.98  
   190         192          19.0213              1           5.84  
   191         193           18.915              1           5.01  
   192         194          18.7527              1           5.17  
   193         195           18.683              1           5.73  
   194         196          18.6259              1           4.89  
   195         197          18.5796              1           4.32  
   196         198           18.506              1           3.04  
   197         199          18.3984              1           4.52  
   198         200          18.2847              1           5.95  
   199         201          18.2034              1           4.56  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   200         202          18.1661              1           4.09  
   201         203          18.1266              1           5.39  
   202         204          18.0783              1           4.44  
   203         205          17.9958              1           3.74  
   204         206          17.9288              1           3.86  
   205         207          17.8612              1           4.64  
   206         208          17.8154              1           3.48  
   207         209          17.7715              1           3.93  
   208         210           17.727              1           4.21  
   209         211          17.6857              1            5.2  
   210         212          17.6019              1           3.76  
   211         213          17.4987              1           3.74  
   212         214          17.3926              1           4.52  
   213         215          17.3184              1            4.3  
   214         216          17.2676              1           4.25  
   215         217          17.2272              1           3.79  
   216         218           17.189              1           3.43  
   217         219          17.1419              1           3.82  
   218         220          17.0831              1           3.38  
   219         221          17.0173              1           3.46  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   220         222          16.9576              1           3.31  
   221         223          16.9147              1           2.56  
   222         224          16.8798              1           2.48  
   223         225          16.8488              1           3.11  
   224         226          16.8149              1           3.06  
   225         227          16.7674              1           3.71  
   226         228          16.6994              1           3.53  
   227         229          16.6369              1           3.96  
   228         230          16.5942              1           4.48  
   229         231          16.5611              1           4.06  
   230         232           16.524              1           3.18  
   231         233          16.4772              1           2.46  
   232         234          16.4105              1           3.09  
   233         235          16.3375              1           2.95  
   234         236          16.2815              1           4.52  
   235         237          16.2393              1           3.25  
   236         238          16.1966              1           3.98  
   237         239          16.1645              1           3.46  
   238         240          16.1322              1           3.26  
   239         241          16.0511              1           3.28  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   240         242           15.975              1           3.47  
   241         243          15.8948              1            4.2  
   242         244          15.8384              1           3.55  
   243         245          15.7872              1           4.05  
   244         246          15.7585              1           4.17  
   245         247          15.6956              1           3.87  
   246         248          15.6227              1           3.12  
   247         249          15.5426              1           3.28  
   248         250          15.4785              1           3.24  
   249         251          15.4056              1           3.88  
   250         252          15.3692              1           3.34  
   251         253          15.3173              1           4.38  
   252         254           15.282              1           3.04  
   253         255          15.2386              1           3.27  
   254         256          15.1793              1           3.56  
   255         257          15.1314              1           3.39  
   256         258          15.0718              1           3.19  
   257         259          15.0323              1            3.3  
   258         260          14.9913              1           3.35  
   259         261          14.9522              1           2.87  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   260         262           14.912              1           2.57  
   261         263          14.8578              1           3.02  
   262         264          14.7864              1           3.42  
   263         265          14.7221              1           3.85  
   264         266          14.6772              1           3.66  
   265         267           14.654              1            2.2  
   266         268          14.6343              1           2.39  
   267         269          14.6034              1           2.52  
   268         270          14.5606              1           3.06  
   269         271          14.5024              1           3.74  
   270         272          14.4322              1           3.88  
   271         273          14.3675              1           3.54  
   272         274          14.3218              1           3.13  
   273         275          14.3004              1           3.81  
   274         276          14.2754              1           2.79  
   275         277          14.2375              1           2.86  
   276         278          14.1679              1           2.45  
   277         279          14.1056              1           2.93  
   278         280          14.0486              1           2.84  
   279         281          14.0105              1           3.29  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   280         282           13.988              1           2.66  
   281         283          13.9668              1           2.31  
   282         284          13.9313              1           4.18  
   283         285          13.8837              1           4.62  
   284         286          13.8214              1           5.06  
   285         287          13.7642              1           2.99  
   286         288          13.7198              1           2.49  
   287         289          13.6906              1           4.01  
   288         290           13.666              1           4.39  
   289         291          13.6334              1           4.16  
   290         292           13.585              1           4.04  
   291         293           13.518              1           4.18  
   292         294          13.4656              1           3.26  
   293         295          13.4305              1           3.23  
   294         296          13.3944              1           3.08  
   295         297          13.3482              1           2.93  
   296         298           13.302              1           3.65  
   297         299          13.2607              1           2.92  
   298         300           13.222              1           3.16  
   299         301          13.1737              1           3.57  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   300         302           13.111              1           3.07  
   301         303          13.0554              1           3.09  
   302         304          13.0301              1            2.7  
   303         305          13.0025              1           2.46  
   304         306           12.979              1           2.44  
   305         307          12.9473              1           2.26  
   306         308           12.903              1           2.94  
   307         309          12.8556              1           4.32  
   308         310           12.817              1           4.08  
   309         311          12.7903              1            3.1  
   310         312           12.769              1           2.26  
   311         313          12.7445              1           2.08  
   312         314          12.7186              1           1.99  
   313         315          12.6921              1           2.28  
   314         316          12.6639              1           1.62  
   315         317          12.6399              1            1.7  
   316         318          12.6213              1           2.64  
   317         319          12.5981              1           2.59  
   318         320          12.5744              1           2.99  
   319         321          12.5513              1           3.46  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   320         322          12.5309              1           2.79  
   321         323          12.5101              1           2.14  
   322         324          12.4858              1           2.42  
   323         325          12.4446              1           2.33  
   324         326          12.3967              1           3.45  
   325         327          12.3445              1           5.35  
   326         328          12.3121              1           2.51  
   327         329          12.2976              1            2.5  
   328         330           12.275              1           2.78  
   329         331          12.2507              1           2.19  
   330         332          12.2064              1           2.14  
   331         333          12.1759              1           2.36  
   332         334          12.1417              1           2.66  
   333         335          12.1038              1           2.69  
   334         336          12.0746              1            2.8  
   335         337          12.0442              1           2.28  
   336         338          12.0109              1           2.82  
   337         339          11.9823              1           2.01  
   338         340          11.9569              1           1.98  
   339         341           11.936              1           1.77  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
