                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   170         184          1.64227              1          0.199  
   171         185          1.64227              1          0.199  
   172         186          1.64226              1          0.199  
   173         187          1.64225              1          0.198  
   174         188          1.64221              1          0.198  
   175         189          1.64211              1          0.197  
   176         190          1.64186              1          0.196  
   177         191          1.64118              1          0.194  
   178         192          1.63927              1          0.189  
   179         193          1.63572              1          0.182  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   180         194          1.62451              1          0.164  
   181         195          1.60528              1          0.172  
   182         197          1.57643       0.561877          0.193  
   183         198          1.52405              1          0.237  
   184         199          1.43731              1          0.344  
   185         200          1.38099              1          0.303  
   186         202          1.37255       0.451346           0.27  
   187         203           1.3662              1          0.226  
   188         204          1.36402              1           0.18  
   189         205           1.3635              1          0.166  
   190         206          1.36342              1          0.165  
   191         207           1.3634              1          0.164  
   192         208           1.3634              1          0.165  
   193         209           1.3634              1          0.165  
   194         210           1.3634              1          0.165  
   195         211           1.3634              1          0.165  
   196         212           1.3634              1          0.165  
   197         213           1.3634              1          0.165  
   198         214          1.36339              1          0.165  
   199         215          1.36338              1          0.165  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   200         216          1.36334              1          0.164  
   201         217          1.36324              1          0.164  
   202         218          1.36298              1          0.164  
   203         219          1.36229              1          0.164  
   204         220          1.36038              1          0.163  
   205         221          1.35589              1          0.165  
   206         222          1.34882              1          0.163  
   207         223          1.30071              1          0.106  
   208         224          1.28005              1          0.142  
   209         225          1.21629              1         0.0644  
   210         226          1.17649              1         0.0695  
   211         227          1.16654              1         0.0629  
   212         228          1.16321              1         0.0699  
   213         229          1.16205              1          0.083  
   214         230          1.16178              1         0.0825  
   215         231          1.16176              1         0.0846  
   216         232          1.16168              1         0.0813  
   217         236          1.16146        2.55627         0.0821  
   218         237          1.16138              1         0.0793  
   219         238          1.16113              1         0.0822  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   220         239          1.16099              1         0.0828  
   221         241          1.16094       0.326841         0.0828  
   222         242          1.16091              1         0.0818  
   223         244          1.16089       0.135394         0.0813  
   224         246          1.16089            0.1         0.0828  
   225         247          1.16089              1         0.0823  
   226         248          1.16089              1         0.0828  
   227         249          1.16089              1         0.0825  
   228         250          1.16089              1         0.0825  
   229         251          1.16089              1         0.0824  
   230         252          1.16089              1         0.0824  
   231         253          1.16089              1         0.0822  
   232         254          1.16088              1         0.0822  
   233         255          1.16088              1         0.0828  
   234         256          1.16087              1         0.0843  
   235         257          1.16086              1         0.0813  
   236         258           1.1608              1         0.0818  
   237         259          1.16062              1         0.0802  
   238         260          1.16057              1         0.0786  
   239         261          1.15999              1         0.0807  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   240         263          1.15788       0.482412         0.0828  
   241         264          1.15687              1         0.0781  
   242         265          1.15294              1         0.0758  
   243         266          1.14838              1         0.0616  
   244         267          1.13675              1         0.0708  
   245         268          1.11833              1          0.051  
   246         269          1.07831              1          0.154  
   247         270          1.01727              1         0.0803  
   248         271         0.981363              1         0.0551  
   249         272         0.976216              1         0.0463  
   250         273         0.974739              1         0.0405  
   251         274          0.97442              1          0.037  
   252         275         0.974351              1         0.0365  
   253         276         0.974334              1          0.037  
   254         277         0.974328              1         0.0374  
   255         278         0.974323              1          0.038  
   256         279         0.974322              1          0.038  
   257         280         0.974322              1         0.0379  
   258         281         0.974322              1         0.0379  
   259         282         0.974322              1         0.0379  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   260         283         0.974321              1         0.0379  
   261         284         0.974321              1         0.0379  
   262         285          0.97432              1          0.038  
   263         286         0.974318              1          0.038  
   264         287         0.974312              1          0.038  
   265         288         0.974296              1         0.0379  
   266         289         0.974254              1         0.0379  
   267         290         0.974144              1         0.0376  
   268         291         0.973852              1         0.0368  
   269         292         0.973101              1         0.0349  
   270         293         0.971364              1         0.0312  
