test_script
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   171         174           7.9872              1           1.91  
   172         175          7.94934              1           1.39  
   173         176          7.91785              1           3.78  
   174         177          7.88677              1           2.54  
   175         178          7.84104              1           2.78  
   176         179          7.77552              1           4.84  
   177         180          7.73821              1           3.03  
   178         181          7.70362              1           2.37  
   179         182          7.64613              1           2.59  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   180         183          7.61338              1           3.35  
   181         184          7.57618              1           3.02  
   182         185          7.51326              1           3.21  
   183         186          7.44072              1            2.2  
   184         187          7.34526              1           3.93  
   185         188          7.29892              1           3.97  
   186         189          7.23638              1            4.3  
   187         190          7.10357              1           4.27  
   188         191          7.04279              1           3.74  
   189         192          6.97908              1           3.53  
   190         193          6.93981              1           2.57  
   191         194          6.89817              1           2.22  
   192         195          6.82854              1            2.8  
   193         196          6.80318              1           2.45  
   194         197          6.77277              1           1.85  
   195         198          6.74568              1           1.95  
   196         199          6.70738              1            2.1  
   197         200          6.67144              1           3.28  
   198         201          6.62552              1           3.85  
   199         202          6.57245              1           3.51  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   200         203          6.51752              1           2.53  
   201         204          6.47903              1           2.04  
   202         205          6.44778              1           2.61  
   203         206          6.41593              1           3.25  
   204         207          6.37905              1           2.12  
   205         208          6.33361              1           2.45  
   206         209          6.30261              1           2.93  
   207         210          6.27976              1            3.5  
   208         211          6.25699              1              2  
   209         212          6.23149              1           1.71  
   210         213          6.19903              1           3.01  
   211         214          6.15784              1            3.6  
   212         215          6.10683              1           2.31  
   213         216          6.06156              1           1.87  
   214         217          6.03099              1           3.51  
   215         218          6.01718              1           1.44  
   216         219          5.99529              1           1.88  
   217         220          5.97457              1           2.78  
   218         221          5.95401              1           2.33  
   219         222          5.92617              1           1.73  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   220         223          5.89375              1           2.17  
   221         224          5.86586              1           2.08  
   222         225          5.84079              1           1.78  
   223         226          5.81091              1            1.7  
   224         227          5.77658              1           1.86  
   225         228          5.72909              1           2.02  
   226         229          5.70037              1           2.61  
   227         230          5.67276              1           1.48  
   228         231          5.65121              1           1.62  
   229         232          5.61111              1           2.04  
   230         233          5.57533              1            2.3  
   231         234          5.54107              1           1.84  
   232         235          5.51616              1           1.52  
   233         236          5.49754              1           1.53  
   234         237          5.48166              1           1.32  
   235         238           5.4597              1           1.88  
   236         239           5.4414              1           1.55  
   237         240          5.42802              1           1.44  
   238         241          5.41833              1           1.01  
   239         242          5.40695              1          0.992  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   240         243           5.3939              1          0.907  
   241         244          5.38079              1           1.11  
   242         245          5.36606              1           1.37  
   243         246          5.35102              1           1.29  
   244         247          5.33454              1           1.92  
   245         248          5.31399              1           2.14  
   246         249          5.29864              1           1.63  
   247         250           5.2906              1          0.855  
   248         251          5.28514              1              1  
   249         252          5.27916              1          0.908  
   250         253          5.27307              1            1.6  
   251         254          5.26592              1           1.07  
   252         255          5.25837              1           1.31  
